,ID,title,product_type,macro_category,prices,quantities,unit_of_measure,score,total_annual_revenues
133,-6354769707384077078,Hot sale organic Pigment Red 170 Synthetic Iron Oxide red pigment powder,Pigment,Chemicals,"['$2.85/kilogram', '']",N/A,N/A,4.9,390000.0
134,-881074384582507441,Hot Selling Bulk Industrial Grade Natural Colored Pearl Pigment Mica Pearlescent Powder For Paint Price Favorable,Pigment,Chemicals,N/A,N/A,N/A,5.0,1500000.0
135,1072831000533781722,cerium sulfide red pigment,Pigment,Chemicals,65.0,20.0,kilograms,5.0,
136,1072831000533781722,cerium sulfide red pigment,Pigment,Chemicals,60.0,25.0,kilograms,5.0,
137,1072831000533781722,cerium sulfide red pigment,Pigment,Chemicals,55.0,100.0,kilograms,5.0,
138,1072831000533781722,cerium sulfide red pigment,Pigment,Chemicals,50.0,1000.0,kilograms,5.0,
139,7581490166067229419,Floating flake pigment Copper gold powder Red copper gold powder Bronze gold powder,Pigment,Chemicals,15.0,1.0,kilograms,4.9,50000.0
140,1271951512348698353,China Iron Oxide Yellow Pigment S920 for interlocks and cement Equal to Bayferrox 4920,Pigment,Chemicals,1.2,1.0,kilograms,5.0,2000.0
141,1271951512348698353,China Iron Oxide Yellow Pigment S920 for interlocks and cement Equal to Bayferrox 4920,Pigment,Chemicals,1.1,100.0,kilograms,5.0,2000.0
142,1271951512348698353,China Iron Oxide Yellow Pigment S920 for interlocks and cement Equal to Bayferrox 4920,Pigment,Chemicals,0.9,1000.0,kilograms,5.0,2000.0
143,-3523935369878708459,"Strontium Alunimate Glow In The Dark Powder,Glow Dark Pigment,Glow In Dark Pigment",Pigment,Chemicals,150.0,1.0,kilograms,4.9,320000.0
144,-4445362384893406698,OEM Low MOQ Duochrome Chameleon Eyeshadow Pressed Glitter Eye Pigment,Pigment,Chemicals,0.8,10.0,pieces,4.6,1000000.0
145,-4445362384893406698,OEM Low MOQ Duochrome Chameleon Eyeshadow Pressed Glitter Eye Pigment,Pigment,Chemicals,0.7,500.0,pieces,4.6,1000000.0
146,-4445362384893406698,OEM Low MOQ Duochrome Chameleon Eyeshadow Pressed Glitter Eye Pigment,Pigment,Chemicals,0.65,1500.0,pieces,4.6,1000000.0
147,6999249468027513654,JULIANG 20 years service life for epoxy resin and paint golden yellow glow in the dark pigment powder,Pigment,Chemicals,33.33,1.0,kilograms,5.0,80000.0
148,6999249468027513654,JULIANG 20 years service life for epoxy resin and paint golden yellow glow in the dark pigment powder,Pigment,Chemicals,31.75,50.0,kilograms,5.0,80000.0
149,7676257134624243555,895 Iron Oxide Pigment Powders Deep Red,Pigment,Chemicals,"['$0.10/kilogram', '']",N/A,N/A,,10000.0
150,8912839402893893882,titanium dioxide rutile pigment used for epoxy floor coating,Pigment,Chemicals,N/A,N/A,N/A,5.0,2000.0
151,8543539194046646147,Defoo Environmental Water Based Pigment Paste manufacturer with factory low price,Pigment,Chemicals,"['$5.00/kilogram', '']",N/A,N/A,4.8,610000.0
152,5128309866452863802,Color Mica Powder Mica Pearl Pigment Powder Mica Powder For Epoxy Resin,Pigment,Chemicals,0.49,500.0,pieces,4.9,60000.0
153,5128309866452863802,Color Mica Powder Mica Pearl Pigment Powder Mica Powder For Epoxy Resin,Pigment,Chemicals,0.45,1000.0,pieces,4.9,60000.0
154,5128309866452863802,Color Mica Powder Mica Pearl Pigment Powder Mica Powder For Epoxy Resin,Pigment,Chemicals,0.39,5000.0,pieces,4.9,60000.0
155,5128309866452863802,Color Mica Powder Mica Pearl Pigment Powder Mica Powder For Epoxy Resin,Pigment,Chemicals,0.35,10000.0,pieces,4.9,60000.0
156,-903721614437056297,Llewellyn Ryland Pigment for Resins \/ Gelcoats (Polyester colour paste),Pigment,Chemicals,8.6,20.0,kilograms,5.0,310000.0
