,Unnamed: 0,ID,title,product_type,macro_category,prices,quantities,unit_of_measure,score,total_annual_revenues
104,104.0,-3.2713159769696353e+18,Ever bright powder iron oxide pigment,Pigment,Chemicals,785.0,500.0,bags,5.0,460000.0
105,105.0,-8.085418994658391e+17,CNMI Pearl Powder Mica Pigment Powder for Epoxy Resin Color Candle Making Soap Lip Gloss Making Cosmetic Grade,Pigment,Chemicals,15.85,1.0,kilograms,4.9,30000.0
106,106.0,-8.085418994658391e+17,CNMI Pearl Powder Mica Pigment Powder for Epoxy Resin Color Candle Making Soap Lip Gloss Making Cosmetic Grade,Pigment,Chemicals,15.5,5000.0,kilograms,4.9,30000.0
107,107.0,-8.085418994658391e+17,CNMI Pearl Powder Mica Pigment Powder for Epoxy Resin Color Candle Making Soap Lip Gloss Making Cosmetic Grade,Pigment,Chemicals,14.75,100000.0,kilograms,4.9,30000.0
108,108.0,-8.085418994658391e+17,CNMI Pearl Powder Mica Pigment Powder for Epoxy Resin Color Candle Making Soap Lip Gloss Making Cosmetic Grade,Pigment,Chemicals,14.35,200000.0,kilograms,4.9,30000.0
109,109.0,3.328308311935639e+18,Low Price Iron Oxide Pigment Red Yellow Black Green Blue Colors for Coating and Leather Pigment Use,Pigment,Chemicals,0.75,1.0,kilograms,3.8,30000.0
110,110.0,3.328308311935639e+18,Low Price Iron Oxide Pigment Red Yellow Black Green Blue Colors for Coating and Leather Pigment Use,Pigment,Chemicals,0.65,10.0,kilograms,3.8,30000.0
111,111.0,3.328308311935639e+18,Low Price Iron Oxide Pigment Red Yellow Black Green Blue Colors for Coating and Leather Pigment Use,Pigment,Chemicals,0.5,30.0,kilograms,3.8,30000.0
112,112.0,-1.7697392954601124e+18,Red Oxide Pigment for Concrete and Painting,Pigment,Chemicals,,10.0,tons,5.0,40000.0
113,113.0,-1.7697392954601124e+18,Red Oxide Pigment for Concrete and Painting,Pigment,,,25.0,tons,5.0,40000.0
114,114.0,-1.7697392954601124e+18,Red Oxide Pigment for Concrete and Painting,Pigment,,800.0,100.0,tons,5.0,40000.0
115,115.0,5.77433958597746e+18,Natural Mineral Mica Powder DIY Pearlized Dye Colorant Pearl Powder Pigment,Pigment,Chemicals,600.0,1.0,kilograms,4.8,640000.0
116,116.0,5.77433958597746e+18,Natural Mineral Mica Powder DIY Pearlized Dye Colorant Pearl Powder Pigment,Pigment,Chemicals,580.0,50.0,kilograms,4.8,640000.0
117,117.0,5.77433958597746e+18,Natural Mineral Mica Powder DIY Pearlized Dye Colorant Pearl Powder Pigment,Pigment,Chemicals,500.0,100.0,kilograms,4.8,640000.0
118,118.0,-6.492441502283547e+18,titanium dioxide liquid pigment,Pigment,Chemicals,,,,,
119,119.0,6.836276083266985e+18,"Caixuan Cheap Pigment Mirror Effect Powder Serie, Chrome Pigment Kit, Mirror Effect Pigment Cosmetic Pigment Inorganic Pigment",Pigment,Chemicals,,,,4.9,1500000.0
120,120.0,7.785722678236159e+18,Doreme Permanent Makeup Pigment Korea Iron Oxide Organic Pigment Three-dimensional Diamond Luster Effect Pigments Food Coloring,Pigment,Chemicals,"['$45.00/kilogram', '']",,,5.0,340000.0
121,121.0,1.1188686306617825e+18,Rainwood newest batch 99% pearl powder hot selling pearl pigment powder pure pearl powder with fast shipping,Pigment,Chemicals,"['$24.00/kilogram', '']",,,4.6,1300000.0
122,122.0,-5.120040670443064e+18,Lithopone pigment Powder B311 with lowest price,Pigment,Chemicals,,,,,130000.0
123,123.0,3.077434678048162e+18,Cosmetic Recolored Mica Pearl Sparkling Pigment Epoxy Resin Color Pigment Mica Powder,Pigment,Chemicals,"['$1.50/piece', '']",,,4.6,140000.0
124,124.0,-9.049482438851485e+18,China Industry Color Iron Oxide Yellow Pigments Powder Price Per Ton,Pigment,Chemicals,36.95,1.0,cubic,4.8,5000.0
125,125.0,-9.049482438851485e+18,China Industry Color Iron Oxide Yellow Pigments Powder Price Per Ton,Pigment,Chemicals,30.26,10.0,cubic,4.8,5000.0
126,126.0,-9.049482438851485e+18,China Industry Color Iron Oxide Yellow Pigments Powder Price Per Ton,Pigment,Chemicals,21.36,100.0,cubic,4.8,5000.0
127,127.0,-5.4568718553348e+18,Great Effective Organic Pigment Powder CAS 84632-65-5 Pigment Red 254,Pigment,Chemicals,,,,,900.0
